-0.971,0.024,0.086
-0.965,0.024,0.084
-0.97,0.023,0.087
-0.968,0.018,0.082
-0.97,0.019,0.069
-0.965,0.021,0.064
-0.973,0.021,0.059
-0.974,0.025,0.055
-0.972,0.028,0.049
-0.967,0.033,0.05
-0.971,0.032,0.048
-0.977,0.034,0.048
-0.971,0.026,0.057
-0.972,0.029,0.063
-0.975,0.027,0.063
-0.973,0.024,0.077
-0.969,0.021,0.085
-0.965,0.019,0.083
-0.968,0.021,0.08
-0.969,0.023,0.081
-0.966,0.015,0.08
-0.969,0.02,0.068
-0.967,0.026,0.061
-0.974,0.028,0.055
-0.975,0.032,0.053
-0.969,0.03,0.052
-0.973,0.031,0.046
-0.972,0.025,0.047
-0.97,0.029,0.059
-0.973,0.029,0.065
-0.965,0.026,0.067
-0.964,0.022,0.084
-0.968,0.019,0.088
-0.967,0.018,0.091
-0.971,0.016,0.083
-0.967,0.022,0.078
-0.974,0.021,0.075
-0.971,0.021,0.065
-0.969,0.016,0.057
-0.971,0.028,0.05
-0.977,0.029,0.045
-0.974,0.031,0.042
-0.968,0.028,0.045
-0.967,0.031,0.05
-0.972,0.03,0.054
-0.97,0.024,0.062
-0.967,0.027,0.067
-0.965,0.024,0.077
-0.969,0.022,0.08
-0.969,0.016,0.091
-0.964,0.017,0.083
-0.969,0.022,0.075
-0.972,0.016,0.074
-0.972,0.017,0.068
-0.969,0.018,0.055
-0.972,0.026,0.04
-0.979,0.027,0.046
-0.977,0.028,0.045
-0.967,0.031,0.044
-0.97,0.031,0.043
-0.969,0.03,0.055
-0.977,0.027,0.056
-0.97,0.027,0.069
-0.968,0.027,0.083
-0.97,0.021,0.084
-0.973,0.02,0.085
-0.972,0.015,0.082
-0.974,0.018,0.083
-0.969,0.022,0.072
-0.971,0.018,0.065
-0.971,0.021,0.055
-0.968,0.024,0.053
-0.976,0.029,0.045
-0.973,0.033,0.046
-0.97,0.029,0.053
-0.973,0.036,0.055
-0.97,0.03,0.053
-0.973,0.024,0.059
-0.973,0.022,0.068
-0.971,0.023,0.076
-0.971,0.02,0.08
-0.968,0.018,0.082
-0.97,0.019,0.086
-0.969,0.024,0.08
-0.967,0.021,0.077
-0.969,0.019,0.067
-0.969,0.02,0.057
-0.97,0.029,0.059
-0.967,0.032,0.055
-0.97,0.029,0.052
-0.974,0.031,0.046
-0.973,0.029,0.052
-0.974,0.029,0.055
-0.968,0.026,0.067
-0.973,0.029,0.066
-0.974,0.027,0.075
-0.968,0.022,0.077
-0.965,0.019,0.086
-0.971,0.02,0.082
-0.968,0.022,0.077
-0.968,0.019,0.083
-0.97,0.016,0.074
-0.968,0.026,0.059
-0.975,0.024,0.051
-0.974,0.029,0.05
-0.97,0.03,0.048
-0.973,0.031,0.044
-0.972,0.028,0.051
-0.978,0.032,0.059
-0.969,0.031,0.065
-0.97,0.025,0.063
-0.971,0.017,0.074
-0.972,0.018,0.075
-0.967,0.019,0.081
-0.969,0.021,0.079
-0.969,0.022,0.083
-0.97,0.017,0.077
-0.963,0.018,0.07
-0.969,0.027,0.059
-0.974,0.027,0.05
-0.973,0.03,0.045
-0.972,0.03,0.051
-0.968,0.034,0.045
-0.974,0.029,0.053
-0.967,0.028,0.051
-0.972,0.026,0.064
-0.966,0.027,0.072
-0.97,0.029,0.065
-0.968,0.021,0.081
-0.965,0.019,0.084
-0.966,0.021,0.083
-0.968,0.023,0.074
-0.974,0.021,0.075
-0.965,0.018,0.067
-0.964,0.024,0.061
-0.974,0.028,0.058
-0.973,0.028,0.058
-0.968,0.029,0.051
-0.968,0.028,0.052
-0.971,0.033,0.052
-0.972,0.024,0.055
-0.974,0.026,0.068
-0.975,0.024,0.069
-0.973,0.023,0.075
-0.968,0.018,0.079
-0.968,0.022,0.082
-0.968,0.018,0.087
-0.97,0.024,0.083
-0.967,0.02,0.073
-0.972,0.019,0.066
-0.971,0.026,0.066
-0.97,0.026,0.062
-0.968,0.028,0.055
-0.972,0.029,0.055
-0.972,0.034,0.045
-0.967,0.024,0.05
-0.973,0.029,0.053
-0.969,0.025,0.06
-0.971,0.029,0.066
-0.968,0.025,0.072
-0.97,0.02,0.072
-0.972,0.019,0.081
-0.967,0.021,0.074
-0.968,0.02,0.08
-0.968,0.016,0.067
-0.969,0.019,0.06
-0.967,0.026,0.057
-0.969,0.027,0.051
-0.971,0.028,0.053
-0.972,0.028,0.049
-0.968,0.033,0.05
-0.974,0.029,0.056
-0.978,0.025,0.058
-0.968,0.022,0.061
-0.972,0.02,0.067
-0.974,0.019,0.071
-0.971,0.019,0.084
-0.966,0.02,0.077
-0.973,0.021,0.071
-0.97,0.021,0.065
-0.969,0.023,0.058
-0.971,0.026,0.049
-0.968,0.028,0.053
-0.969,0.026,0.05
-0.97,0.028,0.05
-0.968,0.029,0.055
